"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALDH1A3",171.997532985668,2.23183083278214,0.532002305631061,4.1951525569701,2.72687988768295e-05,0.00656391586230938
"CALM2",13430.8513819224,0.603033154170965,0.143774528063177,4.194297573392,2.73718461151368e-05,0.00656391586230938
"NQO1",375.379406331568,1.15408132764995,0.27517197309721,4.19403660431015,2.74033732036404e-05,0.00656391586230938
"THYN1",404.032058918437,0.57031898602787,0.136035783300167,4.19241887827001,2.75995787965077e-05,0.00656391586230938
"SOCS3",1384.94531370978,2.05291682926747,0.489757573705305,4.19170001545039,2.76871939200677e-05,0.00656391586230938
"PSMG1",360.050749097901,0.530287159573839,0.126771615682534,4.18301176267883,2.87672501613866e-05,0.0067126618717011
"MYOM3",31.5630657224107,-1.5305981458223,0.366077885382611,-4.18107240819144,2.90137444852987e-05,0.0067126618717011
"CALML6",8.1467632858331,-2.09128300012577,0.508426258214742,-4.11324743035299,3.90131840616015e-05,0.00891869254208253
"ATIC",725.880592197689,0.728422214026001,0.177634664377328,4.10067605092382,4.11944900942208e-05,0.00922619657880974
"RNF10",2115.12268571619,-0.342494872244918,0.0836361929345593,-4.09505574354516,4.2206682434077e-05,0.00922619657880974
"AC079329.1",29.1096460674706,2.07338847639481,0.506349835475637,4.09477466196308,4.22579184988545e-05,0.00922619657880974
"MPDU1",807.879837476529,0.585919743359519,0.143095769709588,4.09459863522617,4.22900350166013e-05,0.00922619657880974
"LPIN1",812.437380999928,-1.03768811577626,0.253587360856823,-4.09203405197371,4.27605840500998e-05,0.00922619657880974
"LTV1",387.137885072154,0.492642370889197,0.120559952334328,4.0862853820897,4.38334574628821e-05,0.00928153751611867
"ZNF607",93.7332723776991,-0.641744538810358,0.157078934714983,-4.08549077554411,4.398374805847e-05,0.00928153751611867
"FGFR3",8.44444791662729,-2.01231380363792,0.493237450687784,-4.07980740479437,4.50730289163223e-05,0.00930987748918903
"AKR1B1",1542.67087808957,0.974387203730907,0.238836088125205,4.0797318838186,4.50876741391751e-05,0.00930987748918903
"JUNB",8184.66812764129,1.30239883781861,0.319652675979928,4.07441869155629,4.61294259040798e-05,0.00942089236225533
"MRPL44",501.122630391997,0.377965529260829,0.092820079310503,4.07202333879132,4.66065080671904e-05,0.00942089236225533
"STXBP1",483.404976438711,-0.779112403661505,0.192307993253559,-4.05137815896318,5.09168382580195e-05,0.0101849588027995
