"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"AC008537.1",21.8522981129431,-1.03348850987692,0.386044458291096,-2.67712302995325,0.00742573621001315,0.0662609142862047,2.12926048260387,"DOWN"
"SH3BP1",12.5407240504064,-1.35701347093505,0.508229523203161,-2.67007997170719,0.00758331831545168,0.0674608299773355,2.12014071379549,"DOWN"
"SH3RF2",7.13423516346042,-2.04731265593006,0.767984640000043,-2.66582500390887,0.00767996583073671,0.067974700526769,2.11464071220228,"DOWN"
"COL2A1",10.8300161084522,-1.47895110139592,0.554887307165627,-2.66531795248737,0.00769155632708024,0.067974700526769,2.11398577516913,"DOWN"
"AC023509.6",16.1761654775968,-1.33325992399474,0.500437982574708,-2.66418611380223,0.00771748517111264,0.0681499965369558,2.11252419632726,"DOWN"
"AC138969.1",9.3589667496145,-1.90304762441639,0.714934112170349,-2.66185036078255,0.00777124177790586,0.06845338123591,2.10950957911383,"DOWN"
"SIGLEC1",10.2913937989745,-1.82706995917467,0.686543665784579,-2.66125819846681,0.00778492340608199,0.0685086670455984,2.10874565598983,"DOWN"
"MIR31HG",8.92872674526629,-1.60205551389006,0.602281135658846,-2.65997956608345,0.00781453923497551,0.0686805568720385,2.10709662399245,"DOWN"
"MIR5690",8.31336548951573,-1.64967391881531,0.620704391010018,-2.65774488260175,0.00786654167413287,0.0689596364518366,2.1042161522579,"DOWN"
"CLDN19",8.12920561476099,-2.28089554949144,0.858681344966298,-2.65627704952756,0.00790086750123199,0.0690076789784524,2.10232522132803,"DOWN"
"IFIT3",128.609538892977,-2.33032439071251,0.878369318058093,-2.6530120563232,0.00797770213065675,0.0696056214081299,2.09812218329656,"DOWN"
"AC004490.1",10.0392383133862,-1.46180484959023,0.551164607281623,-2.6522110278451,0.00799665454466601,0.0696994274187383,2.09709166509139,"DOWN"
"MAP4K2",16.4838466592498,-1.14121616521784,0.430302514508423,-2.65212525314095,0.00799868637060494,0.0696994274187383,2.0969813316133,"DOWN"
"REG3G",45.4090357976186,-1.07174235354402,0.404522677395253,-2.64939993091372,0.00806348479585697,0.0699954325907143,2.09347722859998,"DOWN"
"SLC22A16",7.70297441285478,-2.58998485193629,0.978201728771783,-2.64770013766816,0.00810413738923845,0.0701694675473299,2.09129320500188,"DOWN"
"GSN-AS1",14.0174445835081,-1.23218275877798,0.465581118226552,-2.64654796025984,0.00813179732334629,0.070379138714637,2.08981345424074,"DOWN"
"EML1",17.1738810421301,-1.27733825750518,0.482953772377615,-2.64484580214945,0.00817281510123169,0.0706145047689507,2.08762832628897,"DOWN"
"PKD1P1",11.4305430413194,-1.35251224007366,0.511456460281561,-2.64443280143356,0.00818279526498176,0.0706708531042423,2.08709831481449,"DOWN"
"MIPEPP3",22.3303214450033,-1.09955187474959,0.41656951186789,-2.63953996493699,0.00830186342029951,0.0714274851075369,2.08082441577781,"DOWN"
"DM1-AS",11.478102603221,-1.44584144997146,0.547860622835322,-2.63906802151404,0.00831342982824436,0.0714379871629513,2.0802197646432,"DOWN"
"ZFP3",44.9439170438884,-1.10603156837903,0.41912276957125,-2.63892026078771,0.00831705411628268,0.0714379871629513,2.08003047269883,"DOWN"
"AC092017.4",5.83401341837312,-2.0487376230977,0.776998344248862,-2.63673357641225,0.00837085479592989,0.07168903893547,2.07723019144515,"DOWN"
"OBSCN",48.9943094439162,-1.18730826870403,0.450386875065135,-2.63619642231431,0.0083841183487841,0.0717156055019957,2.07654259989027,"DOWN"
